,ILL,IU,IOWA,MD,MSU,MICH,MINN,NEB,NU,ORE,OSU,PSU,PUR,RUTG,UCLA,USC,WASH,WISC
ILL,,10-63,,,,,,,,16-34,,43-27,,,34-32,25-42,,
IU,,,20-15,,38-13,,,,,30-20,,,,,56-6,,,
IOWA,,,,,,,41-3,,,,25-24,,38-28,,,,,37-0
MD,,,,,,,,31-34,,,,,,17-20,,20-24,27-10,
MSU,,,,,,,20-31,,27-38,,,,,,13-38,31-45,,
MICH,,,,,,,,,30-27,,,,,,,13-31,24-7,24-10
MINN,,,,,,,,24-6,,3-42,,27-20,,31-28,,,,
NEB,,,,,,,,,28-21,,,,,,,,,
NU,,,,,,,,,,14-34,,22-21,19-0,,17-14,,,
ORE,,,,,,,,,,,,,,,,,24-6,34-0
OSU,,,,,,,,,,,,,30-24,,56-10,,,21-7
PSU,,,,,,,,,,,,,,,37-42,,,
PUR,,,,,,,,,,,,,,24-27,,,,
RUTG,,,,,,,,,,,,,,,,,,
UCLA,,,,,,,,,,,,,,,,,,
USC,,,,,,,,,,,,,,,,,,
WASH,,,,,,,,,,,,,,,,,,
WISC,,,,,,,,,,,,,,,,,,
